make,line,style,model,year,edition,power_engine,power_displacement,power_bore_x_stroke,power_compression_ratio,power_maximum_horsepower,power_maximum_torque,power_fuel_system,power_ignition,power_transmission,power_final_drive,power_electronic_rider_aids,performance_front_suspension__wheel_travel,performance_rear_suspension__wheel_travel,performance_front_tire,performance_rear_tire,performance_front_brakes,performance_rear_brakes,details_frame_type,details_raketrail,details_overall_length,details_overall_width,details_overall_height,details_ground_clearance,details_seat_height,details_dry_weight,details_curb_weight,details_fuel_capacity,details_wheelbase,details_special_features,details_color_choices
Kawasaki,ninja,supersport,ninja-zx-14r,2025,ninja-zx-14r-ABS,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled","1,441cc",84.0 x 65.0mm,12.3:1,"197.0 hp¹ @ 10,000 rpm","116.5 lb-ft @ 7,500 rpm",DFI® with 44mm Mikuni throttle bodies (4),TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC) (3-mode), Power Modes, Anti-lock Brake System (ABS)","43mm inverted cartridge fork with adjustable preload, 18-way compression and 15-way rebound damping adjustment/4.6 in","Bottom-link Uni-Trak® and gas-charged shock with adjustable preload, stepless rebound and compression damping adjustments, adjustable ride height/4.9 in",120/70-17,190/50-R17,Dual 310mm semi-floating Brembo discs with dual radial-mounted Brembo 4-piston M50 monobloc calipers and ABS,Single 250mm disc with twin-piston caliper and ABS,Aluminum monocoque,23.0°/3.7 in,85.4 in,30.3 in,46.1 in,4.9 in,31.5 in,,593.1 lb*,5.8 gal,58.3 in,,Metallic Matte Sovereign Red/Metallic Flat Spark Black/Metallic Matte Graphite Gray
Kawasaki,ninja,supersport,ninja-zx-14r,2024,ninja-zx-14r-40th-Anniversary-Edition-ABS,"4-stroke, In-Line Four, DOHC, 16-valve, liquid-cooled","1,441cc",84.0 x 65.0mm,12.3:1,,,DFI® with 44mm Mikuni throttle bodies (4),"TCBI, battery powered & Electronic Advance","6-speed, return shift",Sealed chain,"Kawasaki TRaction Control (KTRC), Power Modes, Anti-lock Brake System (ABS)","43mm inverted cartridge fork with adjustable preload, 18-way compression and 15-way rebound damping adjustment/4.6 in","Bottom-link Uni-Trak® and gas-charged shock with adjustable preload, stepless rebound and compression damping adjustments, adjustable ride height/4.9 in",120/70ZR17,190/50ZR17,Dual semi-floating 310mm Brembo discs with dual radial-mounted Brembo 4-piston M50 monobloc calipers and ABS,Single 250mm disc with twin-piston caliper and ABS,Aluminum monocoque,23.0°/3.7 in,85.4 in,30.3 in,46.1 in,4.9 in,31.5 in,,593.1 lb*,5.8 gal,58.3 in,,Lime Green/Pearl Crystal White/Blue
Kawasaki,ninja,hypersport,ninja-h2-sx,2025,ninja-h2-sx-se-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,11.2:1,"207.0 hp¹ @ 10,000 rpm","101.0 lb-ft @ 8,500 rpm",DFI® with 40mm throttle bodies (4); Kawasaki Supercharger,TCBI with Digital Advance,"6-speed, return shift, dog-ring",Sealed chain,"Economical Riding Indicator, Advanced Rider Assistance Systems (ARAS): Forward Collision Warning (FCW), Blind-Spot Detection (BSD), Adaptive Cruise Control (ACC). Vehicle Hold Assist (VHA), Kawasaki Electronic Control Suspension with Showa Skyhook Technology (KECS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki TRaction Control (KTRC), Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS), Anti-lock Brake System (ABS), Kawasaki Engine Brake Control (KEBC), Kawasaki Quick Shifter (KQS) (dual direction), IMU-Enhanced Chassis Orientation Awareness","43mm inverted Showa fork with KECS-controlled rebound and compression damping, manual spring preload adjustability and top-out springs/4.7 in","Uni-Trak®, Showa BFRC lite gas-charged shock with piggyback reservoir, KECS-controlled compression and rebound damping electronically-adjustable spring preload/5.5 inspring/5.3 in",120/70-17,190/55-17,"Dual 320mm semi-floating discs with dual radial-mount, opposed 4-piston Brembo Stylema® calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 250mm disc with opposed 2-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Trellis, high-tensile steel, with swingarm mounting plate",24.7°/4.1 in,85.6 in,31.1 in,49.6 in,5.1 in,32.9 in,,590.9 lb*,5.0 gal,58.3 in,"Supercharged engine, 6.5"" Full-color TFT Instrumentation, All-LED lighting including Cornering Lights, Kawasaki's Intelligent Proximity Activation Start System (KIPASS), Highly Durable Paint, Grip heaters, Tire Pressure Monitoring System (TPMS), Smartphone Connectivity via Kawasaki SPIN infotainment app",Emerald Blazed Green/Metallic Diablo Black/Metallic Matte Graphenesteel Gray
Kawasaki,ninja,hypersport,ninja-h2,2025,ninja-h2-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,8.5:1,"239.6 hp¹ @ 11,500 rpm","104.9 lb-ft @ 11,000 rpm",DFI® with 50mm throttle bodies (4) with dual injection; Kawasaki Supercharger,TCBI with Digital Advance,"6-speed, return shift, dog-ring",Sealed chain,"Economical Riding Indicator, Kawasaki Cornering Management Function (KCMF), Kawasaki TRaction Control (KTRC), Kawasaki Launch Control Mode (KLCM), IMU-Enhanced Chassis Orientation Awareness, Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Engine Brake Control (KEBC), Kawasaki Quick Shifter (KQS) (upshift & downshift), Öhlins Electronic Steering Damper","43mm inverted Kayaba AOS-II fork with adjustable rebound and compression damping, spring preload adjustability and top-out springs/4.7 in","Uni-Trak®, Öhlins TTX36 gas-charged shock with piggyback reservoir, 24-way compression and rebound damping adjustability, 15-way spring preload adjustability, and top-outspring/5.3 in",120/70-17,200/55-17,"Dual 330mm semi-floating discs with dual radial-mount, opposed 4-piston Brembo Stylema® calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 250mm disc with opposed 2-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Trellis, high-tensile steel, with swingarm mounting plate",24.5°/4.1 in,82.1 in,30.3 in,44.3 in,5.1 in,32.5 in,480.7 lb**,524.8 lb*,4.5 gal,57.3 in,"Supercharged engine, All-digital TFT color Instrumentation, All-LED lighting, Highly Durable Paint, Smartphone Connectivity via RIDEOLOGY THE APP",Mirror Coated Spark Black
Kawasaki,ninja,hypersport,ninja-h2,2025,ninja-h2-carbon-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,8.5:1,"239.6 hp¹ @ 11,500 rpm","104.9 lb-ft @ 11,000 rpm",DFI® with 50mm throttle bodies (4) with dual injection; Kawasaki Supercharger,TCBI with Digital Advance,"6-speed, return shift, dog-ring",Sealed chain,"Economical Riding Indicator, Kawasaki Cornering Management Function (KCMF), Kawasaki TRaction Control (KTRC), Kawasaki Launch Control Mode (KLCM), IMU-Enhanced Chassis Orientation Awareness, Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Engine Brake Control (KEBC), Kawasaki Quick Shifter (KQS) (upshift & downshift), Öhlins Electronic Steering Damper","43mm inverted Kayaba AOS-II fork with adjustable rebound and compression damping, spring preload adjustability and top-out springs/4.7 in","Uni-Trak®, Öhlins TTX36 gas-charged shock with piggyback reservoir, 24-way compression and rebound damping adjustability, 15-way spring preload adjustability, and top-outspring/5.3 in",120/70-17,200/55-17,"Dual 330mm semi-floating discs with dual radial-mount, opposed 4-piston Brembo Stylema® calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 250mm disc with opposed 2-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Trellis, high-tensile steel, with swingarm mounting plate",24.5°/4.1 in,82.1 in,30.3 in,44.3 in,5.1 in,32.5 in,480.7 lb**,524.8 lb*,4.5 gal,57.3 in,"Supercharged engine, All-digital TFT color Instrumentation, All-LED lighting, Carbon fiber, Highly Durable Paint, Serial number stamp, Smartphone Connectivity via RIDEOLOGY THE APP",Mirror Coated Matte Spark Black/Candy Flat Blazed Green
Kawasaki,ninja,hypersport,ninja-h2r,2025,ninja-h2r-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",998cc,76.0 x 55.0mm,8.3:1,"321.5 hp¹ @ 14,000 rpm","121.5 lb-ft @ 12,500 rpm",DFI® with 50mm throttle bodies (4) with dual injection; Kawasaki Supercharger,TCBI with Digital Advance,"6-speed, return shift, dog-ring",Sealed chain,"Economical Riding Indicator, Kawasaki Cornering Management Function (KCMF), Kawasaki TRaction Control (KTRC), Kawasaki Launch Control Mode (KLCM), IMU-Enhanced Chassis Orientation Awareness, Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Engine Brake Control (KEBC), Kawasaki Quick Shifter (KQS) (upshift & downshift), Öhlins Electronic Steering Damper","43mm inverted Kayaba AOS-II fork with adjustable rebound and compression damping, spring preload adjustability and top-out springs/4.7 in","Uni-Trak®, Öhlins TTX36 gas-charged shock with piggyback reservoir, 30-way compression and rebound damping adjustability, 16-way spring preload adjustability, and top-outspring/5.3 in",120/60-17 V01F slick,190/65-17 V01R slick,"Dual 330mm semi-floating discs with dual radial-mount, opposed 4-piston Brembo M50 Monobloc calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 250mm disc with opposed 2-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Trellis, high-tensile steel, with swingarm mounting plate",25.1°/4.3 in,81.5 in,33.5 in,45.7 in,5.1 in,32.7 in,432.2 lb**,476.3 lb*,4.5 gal,57.1 in,"Supercharged engine, Carbon fiber aerodynamic downforce generating devices, Highly Durable Paint",Mirror Coated Matte Spark Black
Kawasaki,z,mini-naked,z125-pro,2025,z125-pro,"4-stroke, 1 cylinder, SOHC, 2-valve, air-cooled",125cc,56.0 x 50.6mm,9.8:1,,"7.1 lb-ft @ 6,000 rpm",DFI® with 24mm throttle bodies,TCBI with Electronic Advance,"4-speed, return shift",Sealed chain,,30mm telescopic fork/3.9 in,"Swingarm, single shock/4.1 in",100/90-12,120/70-12,Single 200mm petal-style disc,Single 184mm petal-style disc,Backbone,26.0°/2.7 in,66.9 in,29.5 in,39.6 in,6.1 in,31.7 in,,224.8 lb*,2.0 gal,46.3 in,,"Pearl Lava Orange, Metallic Matte Old School Green, Cypher Camo Beige"
Kawasaki,z,supernaked,z500,2025,z500-abs,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Electronic Advance,6-speed,Sealed chain,"Economical Riding Indicator, Anti-lock Brake System (ABS)",41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",24.5°/3.6 in,78.5 in,31.5 in,41.5 in,5.7 in,30.9 in,335.2 lb** / 337.4 lb** 50-State Model,366.0 lb* / 368.2 lb* 50-State Model,3.7 gal,54.1 in,"ERGO-FIT®, LCD Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP",Metallic Spark Black/Metallic Matte Graphenesteel Gray
Kawasaki,z,supernaked,z500,2025,z500-se-abs,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Electronic Advance,6-speed,Sealed chain,"Economical Riding Indicator, Anti-lock Brake System (ABS)",41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",24.5°/3.6 in,78.5 in,31.5 in,43.3 in,5.7 in,30.9 in,339.6 lb** / 341.8 lb** 50-State Model,370.4 lb* / 372.6 lb* 50-State Model,3.7 gal,54.1 in,"ERGO-FIT®, All-LED lighting, Full-color TFT Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP, USB-C outlet",Candy Persimmon Red/Metallic Flat Spark Black/Metallic Matte Graphenesteel Gray
Kawasaki,z,supernaked,z650,2025,z650,"4-stroke, 2-cylinder, DOHC, liquid-cooled",649cc,83.0 x 60.0mm,10.8:1,"67.0 hp¹ @ 8,000 rpm","48.5 lb-ft @ 6,700 rpm",DFI® with Keihin 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC - 3 Modes), Anti-lock Brake System (ABS)",41mm telescopic fork/4.9 in,"Horizontal back-link with adjustable preload, swingarm/5.1 in",120/70-17,160/60-17,Dual 300mm petal-style discs with two-piston calipers (and ABS),Single 220mm petal-style disc (and ABS),"Trellis, high tensile steel",24.0°/3.9 in,80.9 in,30.1 in,41.9 in,5.1 in,31.1 in,381.5 lb** (ABS) / 379.3 lb** (non-ABS) 50-State Model,414.5 lb* (ABS) / 412.3 lb* (non-ABS) 50-State Model,4.0 gal,55.5 in,"4.3"" All-digital TFT color Instrumentation, Smartphone Connectivity via RIDEOLOGY THE APP","Metallic Matte Dark Gray/Metallic Spark Black, Metallic Spark Black/Green"
Kawasaki,z,supernaked,z900,2025,z900-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",948cc,73.4 x 56.0mm,11.8:1,"123.0 hp¹ @ 9,500 rpm","73.1 lb-ft @ 7,700 rpm",DFI® with 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Electronic Cruise Control, Kawasaki TRaction Control (KTRC), Anti-lock Brake System (ABS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki Quick Shifter (KQS), IMU-Enhanced Chassis Orientation Awareness",41mm inverted telescopic fork with rebound damping and spring preload adjustability/4.7 in,"Horizontal back-link, gas-charged rear shock with rebound damping and spring preload adjustability/5.5 in",120/70-17,180/55-17,Dual 300mm semi-floating discs with radial-mount 4-piston calipers and ABS,Single 250mm disc with single-piston caliper and ABS,"Trellis, high tensile steel",24.7°/4.3 in,81.3 in,32.7 in,43.3 in,5.7 in,31.9 in,423.4 lb** / 425.6 lb** 50-State Model,467.5 lb* / 469.7 lb* 50-State Model,4.5 gal,57.1 in,"5"" All-digital TFT color instrumentation, All-LED lighting, ERGO-FIT®, Smartphone Connectivity with Voice Command and Turn-by-Turn Navigation via RIDEOLOGY THE APP MOTORCYCLE","Metallic Spark Black/Metallic Carbon Gray/Ebony, Galaxy Silver/Metallic Spark Black/Phantom Blue"
Kawasaki,z,supernaked,z900,2025,z900-se-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled",948cc,73.4 x 56.0mm,11.8:1,"123.0 hp¹ @ 9,500 rpm","73.1 lb-ft @ 7,700 rpm",DFI® with 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Electronic Cruise Control, Kawasaki TRaction Control (KTRC), Anti-lock Brake System (ABS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki Quick Shifter (KQS), IMU-Enhanced Chassis Orientation Awareness",41mm inverted telescopic fork with compression and rebound damping and spring preload adjustability/4.7 in,"Horizontal back-link, Öhlins S46 gas-charged rear shock with rebound damping and spring preload adjustability/5.5 in",120/70-17,180/55-17,Dual 300mm semi-floating discs with radial-mount 4-piston Brembo M4.32 monobloc calipers and ABS,Single 250mm disc with single-piston caliper and ABS,"Trellis, high tensile steel",24.7°/4.3 in,81.3 in,32.7 in,44.7 in,5.7 in,31.9 in,425.6 lb** / 427.8 lb** 50-State Model,469.7 lb* / 471.9 lb* 50-State Model,4.5 gal,57.1 in,"5"" All-digital TFT color instrumentation, All-LED lighting, USB Type-C outlet, ERGO-FIT®, Smartphone Connectivity with Voice Command and Turn-by-Turn Navigation via RIDEOLOGY THE APP MOTORCYCLE",Metallic Matte Graphite Gray/Ebony/Metallic Graphite Gray
Kawasaki,z,retro-sport,z650rs,2025,z650rs-abs,"4-stroke, 2-cylinder, DOHC, liquid-cooled",649cc,83.0 x 60.0mm,10.8:1,"67.0 hp¹ @ 8,000 rpm","48.5 lb-ft @ 6,700 rpm",DFI® with Keihin 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC - 3 Modes), Anti-lock Brake System (ABS)",41mm telescopic fork/4.9 in,"Horizontal back-link with adjustable preload, swingarm/5.1 in",120/70-17,160/60-17,Dual 300mm petal-style discs with two-piston calipers and ABS,Single 220mm petal-style disc and ABS,"Trellis, high tensile steel",24.0°/3.9 in,81.3 in,31.5 in,43.9 in,4.9 in,31.5 in,383.7 lb**,412.3 lb*,3.2 gal,55.3 in,,Ebony
Kawasaki,z,retro-sport,z900rs,2025,Z900RS-ABS,"4-stroke, 4-cylinder, DOHC, 16-valve, liquid-cooled",948cc,73.4 x 56.0mm,10.8:1,"110.0 hp¹ @ 8,500 rpm","72.3 lb-ft @ 6,500 rpm",DFI® with Keihin 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC - 3 Modes), Anti-lock Brake System (ABS)","41mm inverted telescopic fork with (13-way) adjustable compression and rebound (11-way) damping, spring preload (15-turn)/4.7",Horizontal back-link swingarm with stepless adjustable rebound damping and spring preload/5.5 in,120/70-17,180/55-17,Dual 300mm discs with four-piston calipers and ABS,Single 250mm disc with single-piston caliper and ABS,"Trellis, high tensile steel",25.0°/3.9 in,82.7 in,34.1 in,45.3 in,5.1 in,32.9 in,,474.1 lb* 50-State Model,4.5 gal,57.9 in,,Candy Tone Red
Kawasaki,z,retro-sport,z900rs,2025,Z900RS-CAFE-ABS,"4-stroke, 4-cylinder, DOHC, 16-valve, liquid-cooled",948cc,73.4 x 56.0mm,10.8:1,"110.0 hp¹ @ 8,500 rpm","72.3 lb-ft @ 6,500 rpm",DFI® with Keihin 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC - 3 Modes), Anti-lock Brake System (ABS)","41mm inverted telescopic fork with (13-way) adjustable compression and rebound (11-way) damping, spring preload (15-turn)/4.7",Horizontal back-link swingarm with stepless adjustable rebound damping and spring preload/5.5 in,120/70-17,180/55-17,Dual 300mm discs with four-piston calipers and ABS,Single 250mm disc with single-piston caliper and ABS,"Trellis, high tensile steel",25.0°/3.9 in,82.7 in,33.3 in,46.9 in,5.1 in,32.3 in,,476.2 lb* 50-State Model,4.5 gal,57.9 in,,Ebony
Kawasaki,z,retro-sport,z900rs,2025,z900rs-se-abs,"4-stroke, 4-cylinder, DOHC, 16-valve, liquid-cooled",948cc,73.4 x 56.0mm,10.8:1,"110.0 hp¹ @ 8,500 rpm","72.3 lb-ft @ 6,500 rpm",DFI® with Keihin 36mm throttle bodies,TCBI with Electronic Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Kawasaki TRaction Control (KTRC - 3 Modes), Anti-lock Brake System (ABS)","41mm inverted telescopic fork with (13-way) adjustable compression and rebound (11-way) damping, spring preload (15-turn)/4.7","Horizontal back-link swingarm, Öhlins S46 shock with 30-position adjustable rebound damping and stepless spring preload adjustability/5.5 in",120/70-17,180/55-17,Dual 300mm discs with Brembo M4.32 monobloc four-piston calipers and ABS,Single 250mm disc with single-piston caliper and ABS,"Trellis, high tensile steel",25.0°/3.9 in,82.7 in,34.1 in,45.3 in,5.1 in,33.3 in,,474.1 lb* 50-State Model,4.5 gal,57.9 in,,Metallic Graphite Gray/Ebony
Kawasaki,z,z-hypernaked,z-h2,2025,z-h2-se-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled, supercharged",998cc,76.0 x 55.0mm,11.2:1,"197.0 hp¹ @ 10,500 rpm","101.0 lb-ft @ 8,500 rpm",DFI® with 40mm throttle bodies; Kawasaki Supercharger,TCBI with Digital Advance,"6-speed, return shift, dog-ring",Sealed chain,"Economical Riding Indicator, Kawasaki Electronic Control Suspension (KECS) with Showa Skyhook Technology, Kawasaki Cornering Management Function (KCMF), Power Modes, Kawasaki Launch Control Mode (KLCM), Kawasaki TRaction Control (KTRC), Kawasaki Engine Brake Control (KEBC), Kawasaki Intelligent anti-lock Brake System (KIBS), Anti-lock Brake System (ABS), Kawasaki Quick Shifter (KQS) (upshift & downshift), Electronic Cruise Control, IMU-Enhanced Chassis Orientation Awareness","43mm Showa SFF-BP inverted fork with KECS-controlled rebound and compression damping, manual spring preload adjustability/4.7 in","Uni-Trak®, Showa gas-charged shock with KECS-controlled compression and rebound damping, manual spring preload adjustability/5.3 in",120/70-17,190/55-17,"Dual 320mm discs with radial-mount Brembo M4.32 Calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 260mm disc with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Trellis, high tensile steel",24.9°/4.1in,82.1 in,31.9 in,44.5 in,5.5 in,32.7 in,,531.4 lb*,5.0 gal,57.3 in,"Supercharged engine, All-digital TFT color Instrumentation, All-LED lighting, Smartphone Connectivity via RIDEOLOGY THE APP",Metallic Matte Graphenesteel Gray/Ebony/Mirror Coated Black
Kawasaki,versys,adventure-touring,versys-x-300,2025,versys-x-300-abs,"4-stroke, 2-cylinder, DOHC, liquid-cooled",296cc,62.0 x 49.0mm,10.6:1,,"19.2 lb-ft @ 10,000 rpm",DFI® with 32mm throttle bodies (2),TCBI with Digital Advance,"6-speed, return shift with wet multi-disc manual clutch",Chain,"Economical Riding Indicator, Anti-lock Brake System (ABS)",41mm telescopic fork/5.1 in,Uni-Trak® swingarm with 5-way spring preload adjustment/5.8 in,100/90-19,130/80-17,"Single 290mm disc, ABS","Single 220mm disc, ABS","Tubular, diamond",24.3°/4.3 in,85.4 in,33.9 in,54.7 in,7.1 in,32.1 in,350.6 lb**,385.9 lb*,4.5 gal,57.1 in,ERGO-FIT®,Candy Lime Green/Metallic Flat Spark Black
Kawasaki,versys,adventure-touring,versys-650,2024,versys-650-lt-abs,"4-stroke, 2-cylinder, DOHC, 8 valves, liquid-cooled",649cc,83.0 x 60.0mm,10.8:1,,44.8 lb-ft,DFI® with 38mm Keihin throttle bodies (2),TCBI with Electronic Advance,6-speed with positive neutral finder,Sealed chain,"Kawasaki TRaction Control (KTRC), Anti-lock Brake System (ABS), Economical Riding Indicator",41mm telescopic fork with stepless adjustable rebound and spring preload/5.9 in,Single offset laydown shock with remote adjustable spring preload/5.7 in,120/70 ZR-17,160/60 ZR-17,"Dual 300mm petal-style discs with 2-piston calipers, ABS","Single 250mm petal-style disc with single-piston caliper, ABS",Double pipe diamond frame constructed from high-tensile steel,25°/4.3 in,85.2 in,33.1 in,53.5 in/55.9 in (windshield down/up),6.7 in,33.3 in,,482.9 lb* (+ approx. 20 lb* w/ saddlebags & hand guards),5.5 gal,55.7 in,"TFT color instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP, Clean-mount hard saddlebag system, featuring KQR™ mounts",Metallic Matte Dark Gray/Ebony
Kawasaki,versys,adventure-touring,versys-1100-se-lt,2025,versys-1100-se-lt-abs,"4-stroke, in-line 4-cylinder, DOHC, liquid-cooled","1,099cc",77.0 x 59.0mm,11.8:1,"133.0 hp¹  @ 9,000 rpm","82.5 lb-ft @ 7,600 rpm",DFI® with 38mm throttle bodies (4),TCBI with Electronic Advance,"6-speed, return shift with wet multi-disc manual Assist & Slipper Clutch",Chain,"Economical Riding Indicator, Electronic Cruise Control, Kawasaki TRaction Control (KTRC), Kawasaki Electronic Control Suspension (KECS), Kawasaki Intelligent anti-lock Brake System (KIBS), Anti-lock Brake System (ABS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki Quick Shifter (KQS), IMU-Enhanced Chassis Orientation Awareness","43mm inverted Showa fork with KECS-controlled rebound and compression damping, manual spring preload adjustability and top-out springs/5.9 in","Horizontal back-link, Showa BFRC Lite gas-charged shock with piggyback reservoir, KECS-controlled compression and rebound damping electronically-adjustable spring preload/5.9 in",120/70-17,180/55-17,"Dual 310mm petal discs with radial-mount 4-piston monobloc calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 260mm petal disc with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)","Twin-tube, aluminum",27.0°/4.0 in,89.4 in,37.4 in,60.2 in (windshield Hi) / 59.8 in (windshield Lo),5.9 in,33.1 in,520.4 lb** (+20 lb w/ saddlebags),571.1 lb* (+20 lb w/ saddlebags),5.5 gal,59.8 in,"Full-color TFT Instrumentation, All-LED lighting including Cornering Lights, USB Type-C outlet, Adjustable windshield, Grip heaters and hand guards, ERGO-FIT®, Highly Durable Paint, Smartphone Connectivity with Voice Command via RIDEOLOGY THE APP MOTORCYCLE",Metallic Graphite Gray/Metallic Diablo Black
Kawasaki,w,retro-classic,w230,2025,w230-abs,"4-stroke, single-cylinder, SOHC, 2 valves, air-cooled",233cc,67.0 x 66.0mm,9.0:1,,"14.0 lb-ft @ 5,800 rpm",DFI® with 32mm throttle bodies,TCBI with Digital Advance,"6-speed, return shift",Sealed chain,Anti-lock Brake System,37mm telescopic fork/4.6 in,Twin shocks with spring preload adjustability/3.7 in,90/90-18,110/90-17,"Single 265mm disc with 2-piston calipers, ABS","Single 220mm disc with 1-piston caliper, ABS","Semi-double cradle, steel",27.0°/3.7 in,83.6 in,31.4 in,42.9 in,5.9 in,29.3 in,293.2 lb**,315.2 lb*,3.1 gal,55.7 in,,Metallic Ocean Blue/Ebony
Kawasaki,w,retro-classic,w800,2025,w800-abs,"4-stroke, Parallel Twin, SOHC, 4 valves, air-cooled",773cc,77.0 x 83.0mm,8.4:1,,"46.4 lb-ft @ 4,800 rpm",DFI® with 34mm throttle bodies (2),TCBI with Digital Advance,"5-speed, return shift",Sealed chain,Anti-lock Brake System,41mm telescopic fork/5.1 in,Twin shocks with spring preload adjustability/4.2 in,100/90-19,130/80-18,"Single 320mm disc with 2-piston calipers, ABS","Single 270mm disc with 2-piston caliper, ABS",Double-cradle high tensile steel,26.0°/3.7 in,86.2 in,31.1 in,42.3 in,4.9 in,31.1 in,,498.3 lb*,4.0 gal,57.7 in,,Metallic Brilliant Golden Black/Ebony
Kawasaki,eliminator,Cruiser,eliminator,2025,eliminator,"4-stroke, 2-cylinder, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,,"31.7 lb-ft @ 7,500 rpm",DFI® with 32mm throttle bodies,TCBI w/ Digital Advance,"6-speed, return shift",Sealed chain,Anti-lock Brake System (ABS only),41mm telescopic fork/4.7 in,Twin shocks/3.1 in,130/70-18,150/80-16,Single 310mm disc with twin-piston caliper (and ABS),Single 220mm disc with single-piston caliper (and ABS),"Trellis, high-tensile steel",30.0°/4.8 in,88.6 in,30.9 in,43.3 in,5.9 in,28.9 in,361.6 lb** (ABS) / 359.4 lb** (non-ABS),388.1 lb* (ABS) / 385.9 lb* (non-ABS),3.4 gal,59.8 in,"ERGO-FIT®, Smartphone Connectivity via RIDEOLOGY THE APP","Metallic Flat Spark Black, Pearl Sand Khaki"
